T,,B,,C11,C12,,C13,,C33,,C44,,C66
343,,866.278493377,,1479.14450087,620.749655951,,532.676272079,,1472.20923562,,304.141080556,,329.778385241
346,,865.611518068,,1478.32154623,620.208693948,,532.096405409,,1471.2752739,,304.03242328,,329.667133937
349,,864.942433463,,1477.49603681,619.665001001,,531.515045792,,1470.33876278,,303.922714889,,329.554157103
352,,864.2711512,,1476.66785837,619.118376639,,530.93217821,,1469.39957429,,303.811880699,,329.439336572
355,,863.597578547,,1475.83688928,618.568613613,,530.34778681,,1468.45757207,,303.699843392,,329.32254988
358,,862.921617865,,1475.00300226,618.015493036,,529.76185488,,1467.51261238,,303.586522166,,329.203670028
361,,862.243167033,,1474.16606284,617.458788619,,529.174364742,,1466.56454333,,303.47183317,,329.082565263
364,,861.562118496,,1473.32592948,616.898261725,,528.585298114,,1465.61320399,,303.355688403,,328.959098402
367,,860.878358925,,1472.48245212,616.33366233,,527.994635563,,1464.65842452,,303.237996157,,328.833126566
370,,860.191768803,,1471.63547305,615.764729528,,527.402355704,,1463.70002355,,303.118660123,,328.704500386
373,,859.502222433,,1470.78482433,615.191187435,,526.808437467,,1462.73781091,,302.997579052,,328.573064058
376,,858.809587129,,1469.9303295,614.612746967,,526.212857921,,1461.77158342,,302.874647165,,328.438654309
379,,858.11372209,,1469.07180073,614.029102624,,525.615592089,,1460.80112664,,302.749753032,,328.30109999
382,,857.414478596,,1468.20903917,613.439932291,,525.016614072,,1459.82621211,,302.622778581,,328.160221063
385,,856.71169915,,1467.34183376,612.844895416,,524.415896416,,1458.84659771,,302.493600168,,328.015828274
388,,856.005216787,,1466.46996028,612.243632911,,523.813409556,,1457.86202603,,302.362086313,,327.867722069
391,,855.294853867,,1465.59317977,611.635762711,,523.209122311,,1456.87222286,,302.228098077,,327.715691759
394,,854.580421179,,1464.7112377,611.020879246,,522.603000645,,1455.87689684,,302.091488269,,327.559514249
397,,853.861717652,,1463.82386309,610.398552082,,521.99500899,,1454.87573607,,301.952100457,,327.398953133
400,,853.138528686,,1462.93076706,609.768322677,,521.385108411,,1453.86840922,,301.80976813,,327.233757822
403,,852.410624519,,1462.03163883,609.129701206,,520.773257483,,1452.85456126,,301.664313754,,327.063661089
406,,851.677759963,,1461.12614755,608.482165881,,520.159411244,,1451.8338133,,301.515547859,,326.888378591
409,,850.939671589,,1460.21393724,607.825156655,,519.543521103,,1450.80575923,,301.363267663,,326.707606392
412,,850.196077061,,1459.29462614,607.158074487,,518.925534863,,1449.76996273,,301.207256083,,326.521019589
415,,849.446672735,,1458.36780361,606.480274847,,518.305395667,,1448.72595781,,301.047280043,,326.32826963
418,,848.691130536,,1457.43302664,605.791064741,,517.683040623,,1447.6732398,,300.883088171,,326.128981825
421,,847.9290978,,1456.48981785,605.089696976,,517.0584029,,1446.61126912,,300.714410321,,325.922753228
424,,847.16019222,,1455.53766064,604.375364678,,516.431408197,,1445.53946113,,300.540954611,,325.709148882
427,,846.383999385,,1454.57599514,603.647193315,,515.80197506,,1444.45718532,,300.362404316,,325.487698529
430,,845.600070239,,1453.60421421,602.904236531,,515.170014475,,1443.36376017,,300.178416955,,325.257892318
433,,844.807915477,,1452.62165808,602.145464142,,514.535427522,,1442.25844575,,299.988619381,,325.019176834
436,,844.0070021,,1451.62760704,601.369754998,,513.898105431,,1441.1404402,,299.792605868,,324.770949641
439,,843.19674711,,1450.62127608,600.575882634,,513.257927783,,1440.00886878,,299.589932895,,324.512552936
442,,842.376512899,,1449.60180543,599.762509362,,512.61475971,,1438.86278278,,299.380114929,,324.243267629
445,,841.545599036,,1448.56825359,598.92816522,,511.968451422,,1437.70114263,,299.162619816,,323.9623053
448,,840.703235584,,1447.51958533,598.071236037,,511.318835787,,1436.52281306,,298.936862273,,323.668799347
451,,839.848573028,,1446.4546611,597.189942844,,510.665724274,,1435.32654968,,298.70219738,,323.361795483
454,,838.98067337,,1445.37222318,596.282322803,,510.008905206,,1434.1109891,,298.457912797,,323.040239715
457,,838.09849727,,1444.27088138,595.346203163,,509.348139375,,1432.87462984,,298.203219634,,322.702966034
460,,837.200891975,,1443.14909569,594.37917651,,508.683156084,,1431.61582059,,297.937243408,,322.34868152
463,,836.286575396,,1442.00515611,593.378567881,,508.013648089,,1430.33274032,,297.659011714,,321.975949563
466,,835.354120742,,1440.83716396,592.341403062,,507.339265406,,1429.0233827,,297.367442743,,321.583172433
469,,834.401936825,,1439.64300587,591.264369835,,506.659608267,,1427.68553292,,297.061330618,,321.168570314
472,,833.428249382,,1438.42033134,590.143779323,,505.974219657,,1426.31674857,,296.739331704,,320.730160201
475,,832.431080553,,1437.16652657,588.975524165,,505.282575827,,1424.91434474,,296.399948524,,320.265734402
478,,831.40822914,,1435.87869013,587.75504182,,504.584077034,,1423.47537334,,296.04151556,,319.772839364
481,,830.357254249,,1434.55361548,586.477281261,,503.878036089,,1421.99662102,,295.66218821,,319.248759997
484,,829.275466484,,1433.1877817,585.136690511,,503.163668066,,1420.4746152,,295.259936156,,318.690512182
487,,828.159932293,,1431.77736375,583.727228427,,502.440081298,,1418.90565828,,294.832548438,,318.094851842
490,,827.007506119,,1430.31828118,582.242439587,,501.706272125,,1417.28590198,,294.377659511,,317.458317601
493,,825.814900936,,1428.8062946,580.675611658,,500.961128034,,1415.61148156,,293.892806111,,316.777317226
496,,824.578825511,,1427.23719572,579.020068866,,500.2034453,,1413.87874794,,293.375535439,,316.048295704
499,,823.296219473,,1425.60712024,577.269674451,,499.431973543,,1412.08463019,,292.823588154,,315.268011455
502,,821.964616321,,1423.91303033,575.419602323,,498.645494532,,1410.22716255,,292.235182185,,314.43396639
505,,820.582667767,,1422.15339993,573.467435626,,497.842959404,,1408.30620061,,291.609417571,,313.545014862
508,,819.150818658,,1420.32908967,571.414579798,,497.023682591,,1406.32428617,,290.946799007,,312.602143598
511,,817.67205167,,1418.44429702,569.267802612,,496.187590733,,1404.28752023,,290.249806573,,311.60932122
514,,816.152517504,,1416.50733764,567.040518528,,495.335483827,,1402.20616983,,289.523374905,,310.57419889
517,,814.60175031,,1414.53087114,564.753181479,,494.46922325,,1400.09462786,,288.77504789,,309.508315131
520,,813.032198677,,1412.53123034,562.432239939,,493.591744971,,1397.97043086,,288.014598785,,308.426495967
523,,811.457997879,,1410.52678062,560.107510535,,492.706830412,,1395.852366,,287.253067999,,307.345382097
526,,809.893269997,,1408.53569873,557.808594913,,491.818670541,,1393.75815113,,286.50143806,,306.281428338
529,,808.350483619,,1406.57387352,555.561459305,,490.931351554,,1391.70243373,,285.769364152,,305.249003207
532,,806.839359398,,1404.65353829,553.38618701,,490.048429254,,1389.69567312,,285.064334016,,304.259148755
535,,805.3664996,,1402.78285455,551.296258174,,489.172684196,,1387.74401874,,284.391392604,,303.319195779
538,,803.935620788,,1400.96626255,549.299089248,,488.306070231,,1385.84991318,,283.753332932,,302.433076998
541,,802.548108268,,1399.20523337,547.397229505,,487.449790612,,1384.01302058,,283.151135018,,301.602007761
544,,801.203660967,,1397.49911826,545.589731741,,486.604443353,,1382.23115773,,282.584471988,,300.825257054
547,,799.900865851,,1395.84589514,543.873365599,,485.770172589,,1380.50106455,,282.052159111,,300.100829415
550,,798.637649918,,1394.24274785,542.243564023,,484.946805354,,1378.81896757,,281.552505772,,299.425995092
553,,797.411605093,,1392.68647702,540.695099319,,484.133960608,,1377.1809586,,281.083568149,,298.797667935
556,,796.22020452,,1391.17377324,539.222533308,,483.331128184,,1375.58322089,,280.643316989,,298.212656738
559,,795.060940101,,1389.70138326,537.820495257,,482.537727866,,1374.0221652,,280.229743606,,297.667820416
562,,793.931403448,,1388.2662084,536.483851243,,481.753146179,,1372.49448957,,279.840922178,,297.160159717
565,,792.829328004,,1386.86535425,535.207785368,,480.976762753,,1370.99719646,,279.475042541,,296.686863435
568,,791.752611322,,1385.49615129,533.987840785,,480.207968514,,1369.52759767,,279.130425923,,296.24532971
571,,790.699317653,,1384.15615686,532.819925171,,479.446173724,,1368.08328997,,278.805526604,,295.833167328
574,,789.66767418,,1382.84314735,531.700297859,,478.690813307,,1366.66213766,,278.498929264,,295.448189394
577,,788.656063113,,1381.55510344,530.625551634,,477.941352341,,1365.26224238,,278.209341845,,295.088401178
580,,787.663009994,,1380.29019555,529.592587491,,477.197283935,,1363.88192232,,277.93558619,,294.751985674
583,,786.687171895,,1379.04676591,528.598586376,,476.458131861,,1362.51968405,,277.676588372,,294.43728733
